label,z_req_nm,z_act_nm,k_vtk,n_valid,coverage,vtk_min_V,vtk_max_V,fem_min_V,fem_max_V,offset_V,mae_V,rms_abs_V,max_abs_V,l2_rel,mean_pct,rms_pct,max_pct,p95_pct,p99_pct,accepted,qw_excluded
trackA_nogate_sigma2e11_tet_h6,0.0,0.0,0,40401,1.0,-11.29133040654388,-11.29133040654374,-11.291034330192652,-11.29101864753538,0.0003025908928336092,0.0003025908928336092,0.00030259633968862237,0.00031175900847024707,2.679899788542617e-05,0.0026798515492757616,0.0026798997885426777,0.002761047611267918,0.0027158439186075745,0.0027239446306076866,True,False
trackA_nogate_sigma2e11_tet_h6,10.0,10.0,1,40401,1.0,-11.319058637439031,-11.319058637438967,-11.31876698172033,-11.318749871836616,0.000298821978578488,0.000298821978578488,0.00029882788010296955,0.0003087656024050034,2.6400418062554872e-05,0.002639989668311304,0.0026400418062555507,0.0027278381736068357,0.0026778831031707834,0.002685706586716423,True,False
trackA_nogate_sigma2e11_tet_h6,20.0,20.0,2,40401,1.0,-11.34678686833423,-11.34678686833418,-11.346502126377652,-11.346479131578398,0.0002950443123612987,0.0002950443123612987,0.0002950518336040824,0.00030773675582196347,2.6003117625087064e-05,0.002600245477287382,0.0026003117625086605,0.0027121048398359594,0.002642582974903968,0.0026564574546669895,True,False
trackA_nogate_sigma2e11_tet_h6,40.0,40.0,4,40401,1.0,-11.40224333012462,-11.402243330124588,-11.402010396286087,-11.40191846496717,0.00028729419118625173,0.00028729419118625173,0.000287345806953534,0.00032486515743990196,2.520081343943695e-05,0.002519628663135293,0.00252008134394369,0.002849133701449885,0.0025534536165004555,0.0026865921851645692,True,False
trackA_nogate_sigma2e11_tet_h6,50.0,50.0,5,40401,1.0,-11.547471561019822,-11.5474715610198,-11.430339700950913,-11.429867776988376,0.11726385854897389,0.11726385854897389,0.11726386247883243,0.117603784031445,0.010154938408739942,1.0154938068417965,1.0154938408739957,1.018437529029591,1.0157763260180017,1.0168518367902477,True,False
trackA_nogate_sigma2e11_tet_h6,51.0,51.0,6,40401,1.0,-11.668064325235061,-11.66806432523503,-11.433411472662428,-11.43270070569018,0.23487811214967055,0.23487811214967055,0.2348781151546626,0.23536361954487006,0.020129998310575256,2.0129998053035165,2.0129998310575057,2.0171607987782387,2.013294380502582,2.0148593058814868,True,False
trackA_nogate_sigma2e11_tet_h6,52.0,52.0,7,40401,1.0,-11.67115708945029,-11.67115708945027,-11.436483244373942,-11.435533634391982,0.23499236575036417,0.23499236575036417,0.23499237044616728,0.23562345505830784,0.02013445356318417,2.0134453160841868,2.013445356318442,2.0188525717924826,2.013616627631603,2.0158340554540435,True,False
trackA_nogate_sigma2e11_tet_h6,55.0,55.0,10,40401,1.0,-11.562935382096,-11.562935382095969,-11.445333131474603,-11.444698894381752,0.1179959158497624,0.1179959158497624,0.11799592430914248,0.11823648771423834,0.010204668659815034,1.0204667928220628,1.020466865981514,1.0225473360105022,1.020630657448231,1.020949462044923,True,False
trackA_nogate_sigma2e11_tet_h6,57.0,57.0,11,40401,1.0,-11.45098102827503,-11.45098102827501,-11.451104545171098,-11.450586265565457,0.0002972601300310118,0.0002972757713382097,0.0002986905410012356,0.00039476270957372606,2.6084275248007417e-05,0.0025960725164435225,0.0026084275248007324,0.003447413881823476,0.0027025749886101843,0.0028170541793598562,True,False
trackA_nogate_sigma2e11_tet_h6,155.0,155.0,60,40401,1.0,-11.722717691047981,-11.72271769104798,-11.722680590739873,-11.722679912519979,3.766225399504921e-05,3.766225399504921e-05,3.766241579064416e-05,3.777852800013193e-05,3.2127717124335892e-06,0.00032127579105491796,0.00032127717124336245,0.0003222676600749449,0.0003221737177048982,0.00032223031313302126,True,False
trackA_nogate_sigma2e11_tet_h6,255.0,255.0,110,40401,1.0,-11.999999999999982,-11.99999999999998,-12.00000000019473,-11.999999998875513,6.187613615462953e-11,8.024787608727812e-11,1.5639957414049e-10,1.1244676301203071e-09,1.3033297845040832e-11,6.687323007273188e-10,1.3033297845040854e-09,9.370563584335909e-09,3.2969478998741937e-09,4.8098710199913895e-09,True,False
