z_nm,phi_V
-320.0000,-1.000153e+00
-319.0000,-1.000152e+00
-318.0000,-1.000151e+00
-317.0000,-1.000150e+00
-316.0000,-1.000149e+00
-315.0000,-1.000147e+00
-314.0000,-1.000145e+00
-313.0000,-1.000144e+00
-312.0000,-1.000142e+00
-311.0000,-1.000141e+00
-310.0000,-1.000139e+00
-309.0000,-1.000137e+00
-308.0000,-1.000135e+00
-307.0000,-1.000132e+00
-306.0000,-1.000129e+00
-305.0000,-1.000126e+00
-304.0000,-1.000123e+00
-303.0000,-1.000119e+00
-302.0000,-1.000115e+00
-301.0000,-1.000112e+00
-300.0000,-1.000108e+00
-299.0000,-1.000103e+00
-298.0000,-1.000099e+00
-297.0000,-1.000094e+00
-296.0000,-1.000090e+00
-295.0000,-1.000085e+00
-294.0000,-1.000079e+00
-293.0000,-1.000074e+00
-292.0000,-1.000069e+00
-291.0000,-1.000064e+00
-290.0000,-1.000058e+00
-289.0000,-1.000053e+00
-288.0000,-1.000047e+00
-287.0000,-1.000041e+00
-286.0000,-1.000036e+00
-285.0000,-1.000030e+00
-284.0000,-1.000024e+00
-283.0000,-1.000018e+00
-282.0000,-1.000012e+00
-281.0000,-1.000006e+00
-280.0000,-1.000000e+00
-10.0000,-1.000000e+00
-9.0000,-1.142695e+00
-8.0000,-1.285390e+00
-7.0000,-1.428086e+00
-6.0000,-1.570781e+00
-5.0000,-1.694097e+00
-4.0000,-1.786246e+00
-3.0000,-1.878394e+00
-2.0000,-1.970111e+00
-1.0000,-2.064708e+00
0.0000,-2.160869e+00
1.0000,-2.168146e+00
2.0000,-2.175552e+00
3.0000,-2.180590e+00
4.0000,-2.185592e+00
5.0000,-2.190595e+00
6.0000,-2.195598e+00
7.0000,-2.200600e+00
8.0000,-2.205603e+00
9.0000,-2.210772e+00
10.0000,-2.215665e+00
11.0000,-2.220047e+00
12.0000,-2.223828e+00
13.0000,-2.227401e+00
14.0000,-2.231106e+00
15.0000,-2.234841e+00
16.0000,-2.238577e+00
17.0000,-2.242312e+00
18.0000,-2.246048e+00
19.0000,-2.249770e+00
20.0000,-2.253258e+00
21.0000,-2.256737e+00
22.0000,-2.260265e+00
23.0000,-2.263840e+00
24.0000,-2.267414e+00
25.0000,-2.270989e+00
26.0000,-2.274563e+00
27.0000,-2.278111e+00
28.0000,-2.281658e+00
29.0000,-2.285206e+00
30.0000,-2.288744e+00
31.0000,-2.293005e+00
32.0000,-2.297266e+00
33.0000,-2.301527e+00
34.0000,-2.305788e+00
35.0000,-2.310049e+00
36.0000,-2.310084e+00
37.0000,-2.310120e+00
38.0000,-2.310155e+00
39.0000,-2.310191e+00
40.0000,-2.310226e+00
41.0000,-2.310679e+00
42.0000,-2.311055e+00
43.0000,-2.311390e+00
44.0000,-2.312106e+00
45.0000,-2.312822e+00
46.0000,-2.313537e+00
47.0000,-2.314253e+00
48.0000,-2.314968e+00
49.0000,-2.315559e+00
50.0000,-2.316151e+00
51.0000,-2.316742e+00
52.0000,-2.317333e+00
53.0000,-2.317924e+00
54.0000,-2.318755e+00
55.0000,-2.319585e+00
56.0000,-2.320416e+00
57.0000,-2.321247e+00
58.0000,-2.322077e+00
59.0000,-2.322898e+00
60.0000,-2.323811e+00
61.0000,-2.324749e+00
62.0000,-2.325687e+00
63.0000,-2.326625e+00
64.0000,-2.327564e+00
65.0000,-2.328515e+00
66.0000,-2.329564e+00
67.0000,-2.330612e+00
68.0000,-2.331627e+00
69.0000,-2.332639e+00
70.0000,-2.333651e+00
71.0000,-2.334663e+00
72.0000,-2.335675e+00
73.0000,-2.336687e+00
74.0000,-2.337699e+00
75.0000,-2.338722e+00
76.0000,-2.339799e+00
77.0000,-2.340877e+00
78.0000,-2.341955e+00
79.0000,-2.343039e+00
80.0000,-2.344133e+00
81.0000,-2.345227e+00
82.0000,-2.346321e+00
83.0000,-2.347416e+00
84.0000,-2.348510e+00
85.0000,-2.349604e+00
86.0000,-2.350699e+00
87.0000,-2.351793e+00
88.0000,-2.352887e+00
89.0000,-2.353984e+00
90.0000,-2.355081e+00
91.0000,-2.356179e+00
92.0000,-2.357278e+00
93.0000,-2.358376e+00
94.0000,-2.359475e+00
95.0000,-2.360573e+00
96.0000,-2.361671e+00
97.0000,-2.362770e+00
98.0000,-2.363868e+00
99.0000,-2.364967e+00
100.0000,-2.366065e+00
120.0000,-2.387900e+00
140.0000,-2.409456e+00
160.0000,-2.430751e+00
180.0000,-2.451878e+00
200.0000,-2.472888e+00
220.0000,-2.493824e+00
240.0000,-2.514718e+00
260.0000,-2.535578e+00
280.0000,-2.556410e+00
300.0000,-2.577232e+00
320.0000,-2.598045e+00
340.0000,-2.618853e+00
360.0000,-2.639655e+00
380.0000,-2.660455e+00
400.0000,-2.681254e+00
420.0000,-2.702052e+00
440.0000,-2.722848e+00
460.0000,-2.743645e+00
480.0000,-2.764441e+00
500.0000,-2.785236e+00
520.0000,-2.806032e+00
540.0000,-2.826828e+00
560.0000,-2.847623e+00
580.0000,-2.868419e+00
600.0000,-2.889214e+00
620.0000,-2.910009e+00
640.0000,-2.930805e+00
660.0000,-2.951600e+00
680.0000,-2.972396e+00
700.0000,-2.993191e+00
720.0000,-3.013987e+00
740.0000,-3.034782e+00
760.0000,-3.055577e+00
780.0000,-3.076373e+00
800.0000,-3.097168e+00
820.0000,-3.117964e+00
840.0000,-3.138759e+00
860.0000,-3.159554e+00
880.0000,-3.180350e+00
900.0000,-3.201145e+00
920.0000,-3.221941e+00
940.0000,-3.242736e+00
960.0000,-3.263531e+00
980.0000,-3.284327e+00
1000.0000,-3.305122e+00
1020.0000,-3.325918e+00
1040.0000,-3.346713e+00
1060.0000,-3.367508e+00
1080.0000,-3.388304e+00
1100.0000,-3.409099e+00
1120.0000,-3.429895e+00
1140.0000,-3.450690e+00
1160.0000,-3.471485e+00
1180.0000,-3.492281e+00
1200.0000,-3.513076e+00
1220.0000,-3.533872e+00
1240.0000,-3.554667e+00
1260.0000,-3.575462e+00
1280.0000,-3.596258e+00
1300.0000,-3.617053e+00
1320.0000,-3.637849e+00
1340.0000,-3.658644e+00
1360.0000,-3.679439e+00
1380.0000,-3.700235e+00
1400.0000,-3.721030e+00
1420.0000,-3.741826e+00
1440.0000,-3.762621e+00
1460.0000,-3.783416e+00
1480.0000,-3.804212e+00
1500.0000,-3.825007e+00
1520.0000,-3.845803e+00
1540.0000,-3.866598e+00
1560.0000,-3.887393e+00
1580.0000,-3.908189e+00
1600.0000,-3.928984e+00
1620.0000,-3.949780e+00
1640.0000,-3.970575e+00
1660.0000,-3.991370e+00
1680.0000,-4.012166e+00
1700.0000,-4.032961e+00
1720.0000,-4.053757e+00
1740.0000,-4.074552e+00
1760.0000,-4.095347e+00
1780.0000,-4.116143e+00
1800.0000,-4.136938e+00
1820.0000,-4.157734e+00
1840.0000,-4.178529e+00
1860.0000,-4.199324e+00
1880.0000,-4.220120e+00
1900.0000,-4.240915e+00
1920.0000,-4.261711e+00
1940.0000,-4.282506e+00
1960.0000,-4.303301e+00
1980.0000,-4.324097e+00
2000.0000,-4.344892e+00
2020.0000,-4.365688e+00
2040.0000,-4.386483e+00
2053.0000,-4.400000e+00
